created_at,entry_id,temperature,humidity
2019-01-14 19:48:51 UTC,137,1,28
2019-01-14 19:51:22 UTC,138,10,26
2019-01-14 19:51:38 UTC,139,10,26
2019-01-14 19:51:59 UTC,140,9,26
2019-01-14 19:52:20 UTC,141,9,26
2019-01-14 19:52:41 UTC,142,8,27
2019-01-14 19:53:02 UTC,143,10,26
2019-01-14 19:53:23 UTC,144,11,25
2019-01-14 19:53:44 UTC,145,13,38
2019-01-14 19:54:05 UTC,146,14,45
2019-01-14 21:10:26 UTC,147,25,18
2019-01-14 21:10:50 UTC,148,25,21
2019-01-14 21:11:11 UTC,149,25,21
2019-01-14 21:11:32 UTC,150,25,23
2019-01-14 21:11:53 UTC,151,25,23
2019-01-14 21:12:09 UTC,152,24,23
2019-01-14 21:12:30 UTC,153,21,21
2019-01-14 21:12:46 UTC,154,19,21
2019-01-14 21:13:09 UTC,155,13,24
2019-01-14 21:13:25 UTC,156,10,26
