created_at,entry_id,temperature,humidity
2019-01-11 20:48:38 UTC,9,24,25
2019-01-11 20:49:09 UTC,10,24,26
2019-01-11 20:49:40 UTC,11,24,25
2019-01-11 20:50:10 UTC,12,24,26
2019-01-11 20:50:41 UTC,13,24,26
2019-01-11 20:51:11 UTC,14,24,26
2019-01-11 20:51:42 UTC,15,24,26
2019-01-11 20:52:12 UTC,16,24,26
2019-01-11 20:52:43 UTC,17,24,26
2019-01-11 20:53:13 UTC,18,24,25
2019-01-11 20:53:44 UTC,19,24,27
2019-01-11 20:54:15 UTC,20,24,29
2019-01-11 20:54:45 UTC,21,25,25
2019-01-11 20:55:48 UTC,22,25,24
2019-01-11 20:56:19 UTC,23,26,50
2019-01-11 20:56:50 UTC,24,26,24
2019-01-11 20:57:20 UTC,25,26,25
2019-01-11 20:57:51 UTC,26,26,25
2019-01-11 20:58:21 UTC,27,26,25
2019-01-11 20:58:52 UTC,28,25,25
2019-01-11 20:59:22 UTC,29,25,25
2019-01-11 20:59:53 UTC,30,25,25
2019-01-11 21:00:23 UTC,31,25,28
2019-01-11 21:00:54 UTC,32,25,24
2019-01-11 21:01:24 UTC,33,25,25
2019-01-14 18:44:19 UTC,35,23,20
2019-01-14 18:44:50 UTC,36,24,30
2019-01-14 18:46:26 UTC,37,20,22
2019-01-14 18:54:24 UTC,38,16,62
2019-01-14 18:54:54 UTC,39,16,59
2019-01-14 18:55:11 UTC,40,17,67
2019-01-14 18:55:26 UTC,41,17,67
2019-01-14 18:55:41 UTC,42,18,68
2019-01-14 18:55:58 UTC,43,18,67
2019-01-14 18:56:13 UTC,44,18,68
2019-01-14 18:56:28 UTC,45,18,68
2019-01-14 18:56:44 UTC,46,18,66
2019-01-14 19:01:53 UTC,47,12,78
2019-01-14 19:02:08 UTC,48,12,76
2019-01-14 19:02:23 UTC,49,13,75
2019-01-14 19:02:38 UTC,50,13,75
2019-01-14 19:02:53 UTC,51,15,75
2019-01-14 19:03:09 UTC,52,15,75
2019-01-14 19:03:26 UTC,53,14,72
2019-01-14 19:03:41 UTC,54,15,69
2019-01-14 19:06:45 UTC,55,19,62
2019-01-14 19:07:06 UTC,56,20,49
2019-01-14 19:07:27 UTC,57,20,42
2019-01-14 19:07:48 UTC,58,20,42
2019-01-14 19:08:07 UTC,59,20,43
2019-01-14 19:08:28 UTC,60,20,36
2019-01-14 19:08:49 UTC,61,20,32
2019-01-14 19:09:10 UTC,62,20,32
2019-01-14 19:09:31 UTC,63,20,33
2019-01-14 19:09:52 UTC,64,20,21
2019-01-14 19:10:13 UTC,65,20,20
2019-01-14 19:10:34 UTC,66,20,20
2019-01-14 19:10:55 UTC,67,20,19
2019-01-14 19:11:16 UTC,68,20,18
2019-01-14 19:11:37 UTC,69,19,18
2019-01-14 19:11:58 UTC,70,19,18
2019-01-14 19:12:19 UTC,71,19,18
2019-01-14 19:12:40 UTC,72,19,18
2019-01-14 19:13:02 UTC,73,18,19
2019-01-14 19:15:07 UTC,74,9,24
2019-01-14 19:15:28 UTC,75,9,25
2019-01-14 19:15:49 UTC,76,10,25
2019-01-14 19:17:21 UTC,77,8,26
2019-01-14 19:17:41 UTC,78,8,26
2019-01-14 19:18:02 UTC,79,10,26
2019-01-14 19:18:24 UTC,80,12,25
2019-01-14 19:18:45 UTC,81,13,24
2019-01-14 19:19:06 UTC,82,14,24
2019-01-14 19:19:27 UTC,83,15,23
2019-01-14 19:19:50 UTC,84,17,22
2019-01-14 19:20:11 UTC,85,18,38
2019-01-14 19:20:32 UTC,86,20,37
2019-01-14 19:20:54 UTC,87,21,36
2019-01-14 19:21:15 UTC,88,21,19
2019-01-14 19:21:39 UTC,89,19,20
2019-01-14 19:22:02 UTC,90,15,23
2019-01-14 19:22:23 UTC,91,13,24
2019-01-14 19:22:39 UTC,92,12,25
2019-01-14 19:23:02 UTC,93,9,26
2019-01-14 19:23:23 UTC,94,7,27
2019-01-14 19:23:44 UTC,95,5,43
2019-01-14 19:24:05 UTC,96,6,51
2019-01-14 19:24:26 UTC,97,8,54
2019-01-14 19:24:47 UTC,98,10,54
2019-01-14 19:25:08 UTC,99,11,53
2019-01-14 19:28:52 UTC,100,2,57
2019-01-14 19:29:13 UTC,101,4,59
2019-01-14 19:29:47 UTC,102,7,65
2019-01-14 19:31:32 UTC,103,5,41
2019-01-14 19:31:58 UTC,104,5,28
2019-01-14 19:32:21 UTC,105,4,27
2019-01-14 19:32:37 UTC,106,3,27
2019-01-14 19:33:00 UTC,107,3,27
2019-01-14 19:33:15 UTC,108,2,28
2019-01-14 19:33:39 UTC,109,1,28
2019-01-14 19:33:55 UTC,110,1,27
2019-01-14 19:34:16 UTC,111,1,29
2019-01-14 19:34:39 UTC,112,1,30
2019-01-14 19:35:03 UTC,113,1,30
2019-01-14 19:35:24 UTC,114,1,30
2019-01-14 19:35:45 UTC,115,2,53
2019-01-14 19:36:06 UTC,116,4,58
2019-01-14 19:36:27 UTC,117,5,63
2019-01-14 19:36:48 UTC,118,7,66
2019-01-14 19:37:09 UTC,119,8,69
2019-01-14 19:37:30 UTC,120,9,68
2019-01-14 19:42:55 UTC,121,1,27
2019-01-14 19:43:15 UTC,122,2,27
2019-01-14 19:43:36 UTC,123,4,27
2019-01-14 19:43:58 UTC,124,7,27
2019-01-14 19:44:19 UTC,125,8,27
2019-01-14 19:44:40 UTC,126,10,24
2019-01-14 19:45:01 UTC,127,11,23
2019-01-14 19:45:25 UTC,128,12,22
2019-01-14 19:45:48 UTC,129,12,22
2019-01-14 19:46:04 UTC,130,11,22
2019-01-14 19:46:25 UTC,131,10,23
2019-01-14 19:46:41 UTC,132,10,23
2019-01-14 19:47:07 UTC,133,7,24
2019-01-14 19:47:33 UTC,134,5,26
2019-01-14 19:48:09 UTC,135,2,28
2019-01-14 19:48:35 UTC,136,1,28
